track_path,split0,split1,split2,split3,split4
Mega_Pack_GM/Blues GM/12-Bar Blues/082 Slow Blues D/Ride Grooves/Slow Blues D Ride F1 S.mid,valid,train,test,train,train
Mega_Pack_GM/Variety Pack GM/Blues/180 Uptempo Blues.mid,train,train,train,valid,train
Mega_Pack_GM/Blues GM/12-Bar Blues/082 Slow Blues D/Hat Grooves/Slow Blues D Hats Stick F3 M.mid,train,train,valid,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/080 Slow Blues C/Hat Grooves/Slow Blues C Hats Stick F2 S.mid,train,valid,train,valid,train
Mega_Pack_GM/Blues GM/8-Bar Blues/078 Slow Blues A/Ride Grooves/Slow Blues A Ride Stick F1 S.mid,train,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues B/Hat Grooves/Slow Blues B Hats Stick F3 M.mid,train,valid,train,train,train
Mega_Pack_GM/Blues GM/8-Bar Blues/078 Slow Blues A/Hat Grooves/Slow Blues A Hats F2 S.mid,train,train,test,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues B/Hat Grooves/Slow Blues B Hats F3 M.mid,train,valid,train,valid,train
Mega_Pack_GM/Funk HH RB GM/Bonus/075 Blues 01 A.mid,train,valid,train,train,train
Mega_Pack_GM/Blues GM/8-Bar Blues/078 Slow Blues A/Hat Grooves/Slow Blues A Hats Stick F6 L.mid,train,train,test,train,train
Mega_Pack_GM/Blues GM/8-Bar Blues/128 Blues Rumba A/Blues Rumba A F3 M.mid,valid,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/080 Slow Blues C/Ride Grooves/Slow Blues C Ride F1 S.mid,train,valid,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues A/Hat Grooves/Slow Blues A Hats F1 S.mid,test,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/082 Slow Blues D/Hat Grooves/Slow Blues D Hats F6 L.mid,train,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues A/Hat Grooves/Slow Blues A Hats F4 M.mid,train,train,train,train,test
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues A/Hat Grooves/Slow Blues A Hats F2 S.mid,train,train,train,train,valid
Mega_Pack_GM/Jazz Buddy GM/140 Blues/Grooves/Blues A Stick 4.mid,valid,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues A/Hat Grooves/Slow Blues A Hats F5 M.mid,train,train,train,train,test
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues A/Ride Grooves/Slow Blues A Ride F1 S.mid,valid,train,train,test,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues A/Hat Grooves/Slow Blues A Hats F6 L.mid,test,test,train,train,valid
Mega_Pack_GM/Blues GM/8-Bar Blues/078 Slow Blues B/Hat Grooves/Slow Blues B Hats F3 M.mid,train,train,train,train,train
Mega_Pack_GM/Jazz Buddy GM/140 Blues/Outros/Blues Outro 6.mid,train,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues B/Hat Grooves/Slow Blues B Hats Stick F5 M.mid,train,train,train,train,train
Mega_Pack_GM/Jazz Buddy GM/140 Blues/Intros/Blues Count-In Intro 1.mid,train,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/082 Slow Blues D/Ride Grooves/Slow Blues D Ride Stick F5 L.mid,test,train,train,test,train
Mega_Pack_GM/Blues GM/8-Bar Blues/080 Slow Blues C/Hat Grooves/Slow Blues C Hats F3 M.mid,train,train,train,train,valid
Mega_Pack_GM/Blues GM/12-Bar Blues/080 Slow Blues C/Ride Grooves/Slow Blues C Ride F5 M.mid,train,test,train,train,valid
Mega_Pack_GM/Country Outlaws GM/200 Workin Blues/Full Song/Workin Blues.mid,train,train,train,valid,train
Mega_Pack_GM/Blues GM/8-Bar Blues/082 Slow Blues D/Ride Grooves/Slow Blues D Ride Stick F3 M.mid,train,train,train,test,test
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues A/Ride Grooves/Slow Blues A Ride F4 M.mid,train,train,test,test,train
Mega_Pack_GM/Blues GM/8-Bar Blues/078 Slow Blues A/Slow Blues A1 Bonus/Slow Blues A1 Hat Intro.mid,train,train,train,train,train
Mega_Pack_GM/Blues GM/8-Bar Blues/078 Slow Blues A/Ride Grooves/Slow Blues A Ride F5 M.mid,valid,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/080 Slow Blues C/Ride Grooves/Slow Blues C Ride F3 M.mid,train,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/078 Slow Blues B/Ride Grooves/Slow Blues B Ride Stick F6 L.mid,train,train,train,train,train
Mega_Pack_GM/Blues GM/12-Bar Blues/082 Slow Blues D/Hat Grooves/Slow Blues D Hats Stick F2 S.mid,train,valid,train,train,test
Mega_Pack_GM/Blues GM/8-Bar Blues/078 Slow Blues B/Ride Grooves/Slow Blues B Ride F2 S.mid,train,valid,train,train,train
