track_path,split0,split1,split2,split3,split4
Mega_Pack_GM/Jazz GM/Preview Files/Linear Jazz.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Slow Jazz/100 Slow Jazz 01.mid,train,train,test,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 02c.mid,train,train,train,train,train
Mega_Pack_GM/Jazz Buddy GM/186 Bossa Swing/Grooves/Jazz Bossa B.mid,test,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/120 Jazz Rock 03c.mid,train,valid,valid,train,test
Mega_Pack_GM/Electronic GM/Breakbeat/135 Jazzy 03 8-Bar.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/100 Jazzy 02c.mid,test,valid,train,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 02a.mid,train,train,train,train,valid
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 01c.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 01.mid,train,train,train,valid,train
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Shuffles/170 Jazz 42TF 1/170 Jazz Ride 42TF 1 8-Bar.mid,train,train,valid,train,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock 01c.mid,train,train,train,train,train
Mega_Pack_GM/Variety Pack GM/Jazz/186 Jazz Bossa.mid,train,test,train,test,train
Mega_Pack_GM/Jazz GM/Soft Jazz/200 Soft Jazz 02d.mid,test,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/170 Jazz Rock Groove 05.mid,test,train,train,train,train
Mega_Pack_GM/Jazz GM/Loud Jazz/150 Loud Jazz 02.mid,valid,train,train,train,train
Mega_Pack_GM/Jazz GM/Preview Files/Funky Jazz.mid,train,train,test,train,train
Mega_Pack_GM/Jazz GM/Bluesy/123 Bluesy Jazz 04.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Soft Jazz/100 Soft Jazz 01.mid,train,valid,train,train,train
Mega_Pack_GM/Jazz GM/Preview Files/Latin Jazz.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Bluesy/123 Bluesy Jazz 04a.mid,valid,train,train,train,train
Mega_Pack_GM/Jazz GM/Soft Jazz/122 Soft Jazz 04c.mid,train,train,train,test,train
Mega_Pack_GM/Jazz Buddy GM/116 Afro Jazz/Grooves/Afro-Jazz A2 Ride.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Shuffles/170 Jazz 42TF 2/170 Jazz Hat 42TF 2 Crash.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Soft Jazz/200 Soft Jazz 03 Congas 2.mid,train,train,test,test,train
Mega_Pack_GM/Electronic GM/Breakbeat/135 Jazzy 03.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/135 Jazzy 03c.mid,train,train,train,valid,train
Mega_Pack_GM/Jazz GM/Fusion/120 Jazz Rock 03.mid,train,test,train,train,valid
Mega_Pack_GM/Jazz GM/Loud Jazz/150 Loud Jazz 03.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Bluesy/180 Bluesy Jazz 02.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock 01a.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Shuffles/170 Jazz 42TF 1/170 Jazz Ride 42TF 1.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Slow Jazz/100 Slow Jazz 02c.mid,valid,train,train,test,train
Mega_Pack_GM/Electronic GM/Breakbeat/100 Jazzy 02b.mid,test,train,train,train,test
Mega_Pack_GM/Electronic GM/Breakbeat/086 Jazzy 01b.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Bluesy/200 Bluesy Jazz 03b.mid,train,test,train,train,train
Mega_Pack_GM/Variety Pack GM/Jazz/068 Jazz Ballad A Stick on 4.mid,train,train,valid,train,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock 02.mid,train,valid,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock Groove 04.mid,train,valid,valid,train,test
Mega_Pack_GM/Jazz GM/Fast Jazz/200 Fast Jazz Open Hats 01a.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Shuffles/170 Jazz 42TF 1/170 Jazz Hat 42TF 1 B.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Bluesy/180 Bluesy Jazz 02a.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock 02c.mid,train,train,test,train,train
Mega_Pack_GM/Jazz GM/Slow Jazz/100 Slow Jazz 01c.mid,test,train,train,train,train
Mega_Pack_GM/Jazz GM/Bluesy/100 Bluesy Jazz 01.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Loud Jazz/150 Loud Jazz 03 Congas.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Slow Jazz/100 Slow Jazz 03c.mid,train,train,train,train,valid
Mega_Pack_GM/Jazz GM/Bluesy/200 Bluesy Jazz 03a.mid,valid,train,train,train,train
Mega_Pack_GM/Jazz GM/Loud Jazz/150 Loud Jazz 01c.mid,train,test,train,train,train
Mega_Pack_GM/Jazz Buddy GM/116 Afro Jazz/Grooves/Afro-Jazz A Ride.mid,train,valid,train,train,train
Mega_Pack_GM/Variety Pack GM/Jazz/068 Jazz Ballad B Stick BB.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Slow Jazz/100 Slow Jazz 02.mid,train,valid,test,train,train
Mega_Pack_GM/Jazz GM/Soft Jazz/200 Soft Jazz 02.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Intros/120 Jazz Intro 01.mid,train,test,train,train,train
