track_path,split0,split1,split2,split3,split4
Mega_Pack_GM/Electronic GM/Jungle/170 Jungle 04a.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Old Skool/140 Old Skool 04c.mid,train,valid,train,train,train
Mega_Pack_GM/Electronic GM/House/140 House 02a.mid,test,train,train,train,test
Mega_Pack_GM/Electronic GM/House/140 House 06.mid,valid,train,train,valid,train
Mega_Pack_GM/Electronic GM/Trance/145 Trance 06c.mid,test,train,train,train,train
Mega_Pack_GM/Electronic GM/Jungle/170 Jungle 01b.mid,valid,train,train,train,valid
Mega_Pack_GM/Electronic GM/House/140 House 06c.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Garage/135 Garage 03c.mid,train,train,valid,test,train
Mega_Pack_GM/Electronic GM/Techno/142 Techno 04 Snare Riff.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Old Skool/140 Old Skool 08b.mid,train,train,train,train,train
Mega_Pack_GM/Variety Pack GM/Electronic/142 Techno Beat 2.mid,train,test,train,train,train
Mega_Pack_GM/Electronic GM/House/143 House 04.mid,train,train,test,train,train
Mega_Pack_GM/Electronic GM/Old Skool/140 Old Skool 04.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Techno/140 Techno 07d.mid,train,test,train,train,test
Mega_Pack_GM/Electronic GM/Jungle/170 Jungle 14b.mid,test,train,train,train,train
Mega_Pack_GM/Electronic GM/Downtempo/080 Downtempo 08b.mid,valid,train,valid,train,valid
Mega_Pack_GM/Funk HH RB GM/House/145 House 10.mid,train,train,valid,train,train
Mega_Pack_GM/Electronic GM/Techno/140 Techno 09 Claps.mid,train,train,test,test,train
Mega_Pack_GM/Electronic GM/Techno/150 Techno 05b.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/House/140 House 10c.mid,train,test,train,train,train
Mega_Pack_GM/Electronic GM/Jungle/170 Jungle 12c.mid,train,train,train,test,train
Mega_Pack_GM/Electronic GM/Old Skool/140 Old Skool 04 8-Bar.mid,valid,train,train,train,train
Mega_Pack_GM/Electronic GM/Techno/140 Techno 01 8-Bar.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Garage/135 Garage 01.mid,train,train,train,valid,valid
Mega_Pack_GM/Electronic GM/Downtempo/069 Downtempo 07a.mid,train,train,valid,train,train
Mega_Pack_GM/Electronic GM/Techno/150 Techno 05f.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Trance/140 Trance 02a.mid,train,train,train,train,valid
Mega_Pack_GM/Electronic GM/Old Skool/122 Old Skool 09c.mid,valid,train,train,test,train
Mega_Pack_GM/Electronic GM/Trance/140 Trance 12a.mid,valid,train,train,train,train
Mega_Pack_GM/Electronic GM/Jungle/160 Jungle 05 8-Bar.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Jungle/170 Jungle 09.mid,train,train,train,valid,train
Mega_Pack_GM/Funk HH RB GM/House/123 House 02 B.mid,train,valid,train,train,train
Mega_Pack_GM/Variety Pack GM/Electronic/135 Garage Beat.mid,train,train,test,train,train
Mega_Pack_GM/Electronic GM/Trance/140 Trance 10b.mid,valid,train,train,valid,train
Mega_Pack_GM/Electronic GM/Downtempo/080 Downtempo 08a.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Techno/140 Techno 01.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Trance/140 Trance 11e.mid,valid,valid,train,train,train
Mega_Pack_GM/Electronic GM/Trance/140 Trance 01 Open Hats.mid,train,valid,train,train,train
Mega_Pack_GM/Electronic GM/Downtempo/069 Downtempo 11 8-Bar.mid,train,train,test,train,train
Mega_Pack_GM/Electronic GM/Downtempo/080 Downtempo 02 8-Bar.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/House/132 House 03.mid,train,test,train,train,train
Mega_Pack_GM/Electronic GM/House/143 House 04a.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Trance/140 Trance 11c.mid,train,train,train,test,test
Mega_Pack_GM/Electronic GM/Trance/140 Trance 13f.mid,train,train,test,train,train
Mega_Pack_GM/Electronic GM/Garage/135 Garage 02a.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Jungle/170 Jungle 07b.mid,train,valid,train,test,train
Mega_Pack_GM/Electronic GM/Downtempo/080 Downtempo 12a.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Jungle/170 Jungle 14c.mid,train,train,valid,train,train
Mega_Pack_GM/Electronic GM/Techno/142 Techno 04b.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/House/130 House 09 A.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Techno/140 Techno 07.mid,train,test,train,train,train
Mega_Pack_GM/Electronic GM/Downtempo/080 Downtempo 02b.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Old Skool/132 Old Skool 12c.mid,train,train,train,train,valid
Mega_Pack_GM/Electronic GM/Downtempo/089 Downtempo 04b.mid,train,train,train,valid,train
